"","agec","race_recode","region","inc_cdc","inc_va"
"1","25-44 years","1","Midwest",1605.91233377787,1759.35457665584
"2","25-44 years","1","Northeast",1591.03095351134,1773.31577824262
"3","25-44 years","1","South",1741.46696984844,1523.01941511015
"4","25-44 years","1","West",1354.26198522026,1299.86807515702
"5","25-44 years","2","Midwest",2773.08220788405,260.157264706911
"6","25-44 years","2","Northeast",1774.17921439747,289.351450118616
"7","25-44 years","2","South",2295.09392632015,517.260847085951
"8","25-44 years","2","West",2089.07320184093,167.624865044943
"9","25-44 years","3","Midwest",3111.4819507111,60.8364614627288
"10","25-44 years","3","Northeast",521.057315010635,31.2672556166935
"11","25-44 years","3","South",1542.49502084238,32.538031780087
"12","25-44 years","3","West",2915.67245545916,89.3377921132475
"13","25-44 years","4","Midwest",474.467049749181,29.2649141318645
"14","25-44 years","4","Northeast",428.165404103247,64.4082621798581
"15","25-44 years","4","South",519.411048603654,39.4418070257628
"16","25-44 years","4","West",553.222276779865,71.4254721300389
"17","25-44 years","5","Midwest",3138.59056940717,40.3391193595209
"18","25-44 years","5","Northeast",2574.8535115438,43.6998427251579
"19","25-44 years","5","South",2434.22852598769,26.4900762378724
"20","25-44 years","5","West",3199.75834333638,64.7726800663946
"21","45-64 years","1","Midwest",6340.31252044272,10293.1355011792
"22","45-64 years","1","Northeast",5597.54391939148,8888.44428177809
"23","45-64 years","1","South",7144.63798047323,7654.91283653659
"24","45-64 years","1","West",5825.20492095891,8087.81034071241
"25","45-64 years","2","Midwest",10773.9401117,2584.16456821359
"26","45-64 years","2","Northeast",7666.19704656918,2636.34916428559
"27","45-64 years","2","South",9253.15190439004,3857.88845193897
"28","45-64 years","2","West",8876.50323819331,1341.11321103093
"29","45-64 years","3","Midwest",9037.4163024002,206.117626347091
"30","45-64 years","3","Northeast",2190.58237830502,78.9963097326654
"31","45-64 years","3","South",5835.45849955703,126.926616189009
"32","45-64 years","3","West",7644.8368738466,296.69916903337
"33","45-64 years","4","Midwest",2146.17032017279,38.0998330313695
"34","45-64 years","4","Northeast",2049.95803007734,55.7722367455547
"35","45-64 years","4","South",2202.12431485291,26.3628301669866
"36","45-64 years","4","West",2481.02927455522,175.200968751482
"37","45-64 years","5","Midwest",19042.5324308501,80.0465510569985
"38","45-64 years","5","Northeast",16442.6925478392,87.1711787249856
"39","45-64 years","5","South",15317.600880762,100.467226396125
"40","45-64 years","5","West",19696.6970405876,218.087451143941
"41","65-74 years","1","Midwest",17998.5300368664,24238.9597206722
"42","65-74 years","1","Northeast",16186.3400292531,22423.1621434965
"43","65-74 years","1","South",18951.68841339,23285.1506136576
"44","65-74 years","1","West",16191.4670665346,21050.4485806199
"45","65-74 years","2","Midwest",26825.7371040359,3081.48499773381
"46","65-74 years","2","Northeast",20544.5507673823,3010.34383256457
"47","65-74 years","2","South",24280.1013790317,5509.28459525411
"48","65-74 years","2","West",23992.733246395,1828.8681362341
"49","65-74 years","3","Midwest",22593.4732923943,218.328564944354
"50","65-74 years","3","Northeast",6804.60667113169,76.9372589062855
"51","65-74 years","3","South",15255.4282255322,259.233142712736
"52","65-74 years","3","West",18172.0583131724,534.740208360485
"53","65-74 years","4","Midwest",7287.64809495534,31.0444917400242
"54","65-74 years","4","Northeast",7096.79321724526,32.4124622434996
"55","65-74 years","4","South",7278.1178890865,33.4735850307027
"56","65-74 years","4","West",7169.81144307871,328.73653305159
"57","65-74 years","5","Midwest",103971.592973245,164.171902807127
"58","65-74 years","5","Northeast",88664.3421333523,100.271521510962
"59","65-74 years","5","South",71502.2460226244,257.374780927676
"60","65-74 years","5","West",77689.1693266019,343.225892950074
"61","75-84 years","1","Midwest",47096.4227961296,50148.440831642
"62","75-84 years","1","Northeast",43349.040988275,46470.1245417283
"63","75-84 years","1","South",45750.9238048125,47431.8781116604
"64","75-84 years","1","West",41455.1460089156,41435.7397276046
"65","75-84 years","2","Midwest",52595.1477204463,4097.42198907798
"66","75-84 years","2","Northeast",42049.7894784664,3844.82913593956
"67","75-84 years","2","South",51351.7853347525,6507.45817859815
"68","75-84 years","2","West",48186.2643042274,2944.13858033782
"69","75-84 years","3","Midwest",46746.1081850018,284.377696796692
"70","75-84 years","3","Northeast",14188.2308727873,98.2991846484434
"71","75-84 years","3","South",33146.3483741908,306.496853437313
"72","75-84 years","3","West",42038.982502893,664.202776829508
"73","75-84 years","4","Midwest",21305.510991538,60.4892578773389
"74","75-84 years","4","Northeast",21257.9163080572,79.5223465908445
"75","75-84 years","4","South",21545.6622223426,53.8601765153966
"76","75-84 years","4","West",20896.3532862342,695.409652921112
"77","75-84 years","5","Midwest",342614.127184531,204.198780672616
"78","75-84 years","5","Northeast",227206.88980231,243.761639749635
"79","75-84 years","5","South",220717.639010121,432.169965707247
"80","75-84 years","5","West",223228.910212004,569.748712025617
"81","85 years and older","1","Midwest",145246.943252833,116706.073795839
"82","85 years and older","1","Northeast",140208.217594514,115228.072179281
"83","85 years and older","1","South",136432.698331572,110520.106059517
"84","85 years and older","1","West",135207.263578245,100650.134264793
"85","85 years and older","2","Midwest",124432.429514695,6218.78144795965
"86","85 years and older","2","Northeast",103593.74134508,4964.32041484228
"87","85 years and older","2","South",126103.160982223,11363.3384220475
"88","85 years and older","2","West",120263.488597511,4159.6430247872
"89","85 years and older","3","Midwest",91018.8346162333,316.878335775227
"90","85 years and older","3","Northeast",27882.9703946415,168.36643826633
"91","85 years and older","3","South",70142.2836128119,501.77220127736
"92","85 years and older","3","West",104481.065377793,890.640423010168
"93","85 years and older","4","Midwest",69553.2031397477,97.5550259330335
"94","85 years and older","4","Northeast",67555.286629392,92.85072460429
"95","85 years and older","4","South",68560.2100744137,81.1030229395364
"96","85 years and older","4","West",74410.9780849764,3639.27360375211
"97","85 years and older","5","Midwest",1113976.27643115,509.933576184816
"98","85 years and older","5","Northeast",471977.543316233,739.11180690501
"99","85 years and older","5","South",595043.952110099,970.627838175451
"100","85 years and older","5","West",695018.731788539,946.369610467355
